ds,yhat,yhat_lower,yhat_upper
2022-10-17,2779.4992365377198,2773.8220304638435,2784.8126605059874
2022-10-18,2783.654507501681,2778.1611555584964,2789.2564141548933
2022-10-19,2787.7328545337677,2782.1774756796854,2793.113183227179
2022-10-20,2791.8321454815164,2786.462177676049,2797.426733097257
2022-10-21,2795.857882844678,2790.461771079277,2801.1351640209155
2022-10-22,2799.054559660046,2793.8604212933024,2804.37086190489
2022-10-23,2803.6219982864054,2798.242158449379,2808.9852674570884
2022-10-24,2807.828962938956,2802.3777811251452,2812.989106535096
2022-10-25,2811.984233902917,2807.1447740907583,2817.0526574105015
2022-10-26,2816.0625809350013,2810.635274024192,2821.1464122757793
2022-10-27,2820.161871882751,2814.6423243410086,2825.2082474618933
2022-10-28,2824.187609245912,2818.998658972051,2829.596307773195
2022-10-29,2827.384286061281,2822.0673982067715,2832.7678472216858
2022-10-30,2831.9517246876403,2826.3399128673277,2837.6180526632393
2022-10-31,2836.15868934019,2830.7802910612677,2841.6567823831456
2022-11-01,2840.269960412943,2835.023542783685,2845.293714919337
2022-11-02,2844.3043075538208,2838.414304407805,2849.3170716228
2022-11-03,2848.359598610364,2842.714915884108,2853.7993379043564
2022-11-04,2852.3413360823183,2847.071887358384,2857.895152239795
2022-11-05,2855.4940130064792,2850.097278754445,2860.697034725226
2022-11-06,2860.017451741633,2854.8011584161777,2865.338584373092
2022-11-07,2864.1804165029744,2859.001025011892,2869.929684385766
2022-11-08,2868.2916875757282,2862.8877332205248,2873.5314553003554
2022-11-09,2872.3260347166056,2867.3662115146644,2877.604586435703
2022-11-10,2876.3813257731476,2871.0310601780593,2882.195299750371
2022-11-11,2880.363063245102,2874.7565603312573,2885.692169697248
2022-11-12,2883.5157401692645,2878.014990216907,2889.045969681149
2022-11-13,2888.039178904418,2882.770598088477,2893.6355785116643
2022-11-14,2892.2021436657587,2886.861092171329,2897.5633587023426
2022-11-15,2896.3134147385117,2890.6892253367037,2901.521837086296
